P_i,P_t,P_v,T_i,T_t,T_v
19640,1496712034.3275270462,313.949585,19523,1496712034.0413813591,-104.553200
19721,1496712034.5268385410,38.879398,19666,1496712034.3917036057,-151.428207
19830,1496712034.7932024002,-34.942600,19825,1496712034.7812039852,-256.576508
19916,1496712035.0046429634,62.942501,19838,1496712034.8126029968,-318.206787
20333,1496712036.0282900333,329.284698,20217,1496712035.7428870201,-76.278702
20394,1496712036.1783549786,52.535999,20359,1496712036.0921311378,-246.582001
20539,1496712036.5359244347,-2.700800,20531,1496712036.5163805485,-389.358490
20629,1496712036.7576384544,76.812698,20544,1496712036.5483851433,-316.268890
21054,1496712037.8049511909,329.757690,20925,1496712037.4872069359,-74.630699
21127,1496712037.9841141701,58.944698,21080,1496712037.8690400124,-236.633301
21252,1496712038.2927675247,-49.514801,21251,1496712038.2902915478,-240.921005
21342,1496712038.5135226250,74.920700,21265,1496712038.3240628242,-364.883392
21829,1496712039.7093663216,261.825592,21725,1496712039.4542250633,-86.059601
21923,1496712039.9404940605,97.015404,21863,1496712039.7937078476,-182.846100
22014,1496712040.1639735699,-63.537601,22009,1496712040.1520535946,-268.646210
22091,1496712040.3527204990,70.678703,22022,1496712040.1835718155,-333.373993
23918,1496712056.5920565128,189.788803,23797,1496712056.2947554588,-142.242401
24675,1496712058.4538273811,205.444305,24486,1496712057.9885201454,-188.766495
24816,1496712058.8010799885,15.564000,24799,1496712058.7592496872,-90.866096
25074,1496712059.4369804859,-27.420000,24829,1496712058.8323814869,-109.100304
25405,1496712060.2487444878,197.418198,25216,1496712059.7855224609,-186.935394
25500,1496712060.4819855690,76.355003,25487,1496712060.4511690140,-121.307404
25672,1496712060.9060709476,-39.749100,25513,1496712060.5134985447,-133.132904
25990,1496712061.6883754730,205.551102,25835,1496712061.3070635796,-198.226898
26131,1496712062.0357429981,57.922401,26114,1496712061.9937729836,-105.438202
26226,1496712062.2697625160,-24.307301,26140,1496712062.0579576492,-120.834396
26616,1496712063.2306020260,204.818695,26487,1496712062.9133234024,-186.904907
27649,1496712065.7684624195,15.960700,26762,1496712063.5897235870,-87.402298
28636,1496712071.7851395607,202.453598,28507,1496712071.4670000076,-138.916000
28781,1496712072.1425223351,54.306000,28764,1496712072.1002740860,-64.376801
28975,1496712072.6196761131,-24.826000,28812,1496712072.2184262276,-105.896004
29385,1496712073.6344480515,241.577103,29255,1496712073.3074455261,-114.273102
29492,1496712073.8978481293,27.252199,29479,1496712073.8657145500,-77.392601
29703,1496712074.4168565273,-22.277800,29522,1496712073.9717535973,-117.050201
30056,1496712075.2841701508,262.558014,29909,1496712074.9232153893,-116.699203
30137,1496712075.4838738441,34.408600,30124,1496712075.4513945580,-87.219200
30279,1496712075.8331899643,-21.026600,30167,1496712075.5577483177,-174.163803
30713,1496712076.9007325172,251.251205,30580,1496712076.5738658905,-147.262604
30833,1496712077.1963729858,48.599201,30816,1496712077.1545529366,-114.807098
31392,1496712078.5723719597,208.084106,31242,1496712078.2023706436,-133.636505
31503,1496712078.8462696075,14.633200,31490,1496712078.8138771057,-86.486801
32261,1496712080.7063059807,-2.365100,31529,1496712078.9096744061,-91.049202
33189,1496711982.9877765179,415.649414,33092,1496711982.7446656227,-270.248413
33335,1496711983.3477315903,-34.210201,33262,1496711983.1676409245,-376.449585
33485,1496711983.7167215347,410.858185,33378,1496711983.4533286095,-241.073593
33631,1496711984.0759270191,-37.506100,33559,1496711983.8986945152,-440.887512
33786,1496711984.4572768211,476.974487,33674,1496711984.1823024750,-269.928009
33928,1496711984.8056809902,-53.558300,33859,1496711984.6373481750,-420.928986
34071,1496711985.1560890675,498.306305,33963,1496711984.8915395737,-276.687592
34221,1496711985.5257484913,-54.412800,34152,1496711985.3552429676,-425.582886
34355,1496711985.8545184135,499.481201,34260,1496711985.6211218834,-265.502899
34504,1496711986.2220180035,-48.385601,34440,1496711986.0640063286,-433.944702
34646,1496711986.5722665787,498.519897,34543,1496711986.3184671402,-290.710388
34736,1496711986.7936329842,-255.584702,34728,1496711986.7741644382,-443.161011
34796,1496711986.9410510063,-61.523399,34740,1496711986.8036303520,-353.530914
34938,1496711987.2905673981,494.049103,34835,1496711987.0373673439,-259.780914
35028,1496711987.5125744343,-213.714600,35020,1496711987.4926271439,-453.063995
